episode_id,moves,highest_tile,update_count
1,99,64,99
2,211,128,310
3,119,64,429
4,102,64,531
5,169,128,700
6,102,64,802
7,96,64,898
8,177,128,1075
9,179,128,1254
10,244,256,1498
11,106,64,1604
12,71,32,1675
13,182,128,1857
14,118,128,1975
15,197,128,2172
16,84,64,2256
17,138,128,2394
18,128,128,2522
19,141,128,2663
20,108,64,2771
21,96,64,2867
22,178,128,3045
23,148,128,3193
24,135,128,3328
25,87,64,3415
26,114,64,3529
27,107,64,3636
28,101,64,3737
29,98,64,3835
30,121,128,3956
31,137,128,4093
32,124,128,4217
33,126,128,4343
34,64,32,4407
35,94,64,4501
36,183,128,4684
37,125,64,4809
38,112,64,4921
39,92,64,5013
40,146,128,5159
41,152,128,5311
42,90,64,5401
43,106,64,5507
44,125,128,5632
45,126,64,5758
46,108,64,5866
47,136,128,6002
48,90,64,6092
49,151,128,6243
50,147,128,6390
51,234,256,6624
52,121,128,6745
53,89,64,6834
54,121,64,6955
55,159,128,7114
56,93,64,7207
57,199,128,7406
58,147,128,7553
59,245,256,7798
60,152,128,7950
61,133,64,8083
62,96,64,8179
63,152,128,8331
64,137,128,8468
65,197,256,8665
66,62,32,8727
67,249,256,8976
68,224,256,9200
69,106,64,9306
70,144,128,9450
71,97,64,9547
72,240,256,9787
73,152,128,9939
74,284,256,10223
75,103,64,10326
76,216,128,10542
77,205,128,10747
78,167,128,10914
79,155,128,11069
80,242,256,11311
81,263,256,11574
82,102,64,11676
83,146,128,11822
84,173,128,11995
85,161,128,12156
86,150,128,12306
87,160,128,12466
88,141,128,12607
89,103,64,12710
90,251,256,12961
91,279,256,13240
92,180,128,13420
93,110,64,13530
94,159,128,13689
95,189,128,13878
96,72,32,13950
97,97,64,14047
98,269,256,14316
99,116,64,14432
100,191,256,14623
101,146,128,14769
102,259,256,15028
103,95,64,15123
104,404,512,15527
105,160,128,15687
106,149,128,15836
107,278,256,16114
108,431,512,16545
109,175,128,16720
110,313,256,17033
111,170,128,17203
112,446,512,17649
113,148,64,17797
114,259,256,18056
115,79,64,18135
116,246,256,18381
117,295,128,18676
118,135,128,18811
119,207,256,19018
120,435,512,19453
121,234,256,19687
122,420,512,20107
123,141,64,20248
124,278,256,20526
125,335,256,20861
126,292,256,21153
127,196,128,21349
128,397,512,21746
129,148,128,21894
130,141,128,22035
131,100,64,22135
132,167,128,22302
133,383,256,22685
134,107,64,22792
135,164,128,22956
136,174,128,23130
137,332,256,23462
138,97,64,23559
139,285,256,23844
140,429,512,24273
141,109,64,24382
142,434,512,24816
143,200,128,25016
144,159,128,25175
145,291,256,25466
146,125,64,25591
147,311,256,25902
148,316,256,26218
149,267,256,26485
150,472,512,26957
151,321,256,27278
152,149,128,27427
153,397,512,27824
154,250,128,28074
155,193,128,28267
156,359,256,28626
157,326,256,28952
158,528,512,29480
159,485,256,29965
160,172,128,30137
161,200,128,30337
162,175,128,30512
163,245,256,30757
164,208,128,30965
165,284,128,31249
166,126,128,31375
167,220,256,31595
168,305,256,31900
169,386,256,32286
170,122,64,32408
171,166,128,32574
172,254,128,32828
173,224,256,33052
174,345,256,33397
175,176,128,33573
176,238,256,33811
177,262,256,34073
178,894,1024,34967
179,351,256,35318
180,139,64,35457
181,210,128,35667
182,305,256,35972
183,511,512,36483
184,190,128,36673
185,287,256,36960
186,477,512,37437
187,182,128,37619
188,394,256,38013
189,444,512,38457
190,351,256,38808
191,530,512,39338
192,266,128,39604
193,449,512,40053
194,358,256,40411
195,364,256,40775
196,299,256,41074
197,212,128,41286
198,306,256,41592
199,187,128,41779
200,307,256,42086
201,308,256,42394
202,277,256,42671
203,363,512,43034
204,228,128,43262
205,168,128,43430
206,317,256,43747
207,327,256,44074
208,506,512,44580
209,241,256,44821
210,266,128,45087
211,605,512,45692
212,326,256,46018
213,525,512,46543
214,252,128,46795
215,242,256,47037
216,354,256,47391
217,279,128,47670
218,339,256,48009
219,297,256,48306
220,191,128,48497
221,460,512,48957
222,431,256,49388
223,299,256,49687
224,310,256,49997
225,337,256,50334
226,276,256,50610
227,283,256,50893
228,474,512,51367
229,374,256,51741
230,290,256,52031
231,350,256,52381
232,211,128,52592
233,208,128,52800
234,308,256,53108
235,260,256,53368
236,169,128,53537
237,253,128,53790
238,286,256,54076
239,433,256,54509
240,264,128,54773
241,138,64,54911
242,419,512,55330
243,138,128,55468
244,93,64,55561
245,286,256,55847
246,529,512,56376
247,247,128,56623
248,372,256,56995
249,226,256,57221
250,546,512,57767
251,246,256,58013
252,344,256,58357
253,570,512,58927
254,369,512,59296
